Speak only english,% Hispanic,% Hispanic Population Foreign Born,Hispanic Median Household Income
22.91124978,49.30742556,41.40342606,59.559
41.11182935,20.19971331,33.60596584,56.319
11.45803377,59.59327426,44.92698364,41.579
46.28472222,17.61959654,28.68825646,67.396
26.72064777,32.54759547,34.48742223,51.845
12.89712154,55.26941309,42.67774201,41.32
67.78824585,12.9297941,26.51573292,95.109
59.12993703,12.30503155,24.59656429,70.042
45.3038674,22.66606822,26.13861386,72.743
48.23811666,15.48470633,33.74914325,67.049
47.32892621,19.85518799,28.90598862,59.592
32.76657259,30.7576983,34.74858902,63.688
11.0982717,74.82536639,39.36481787,41.425
21.86610969,43.99790853,34.15970686,54.772
32.38935052,29.78567987,34.41168797,48.157
37.50436503,28.19983238,27.79959665,53.059
36.1872423,23.34380429,35.50593896,69.838
41.70976574,15.34504169,34.73988439,82.705
58.4110971,17.25665499,21.47024504,93.594
52.64544902,18.47790507,24.5704163,94.825
49.35803375,11.68896008,32.28332443,73.38
47.59974051,21.15295784,30.09171641,69.387
60.65540812,18.00306748,16.61271085,88.601
40.63562203,15.46855719,34.48302831,76.172
53.28501286,9.215980775,31.22555411,110.952
48.83855981,11.49405144,33.52532611,112.951
60.98638855,11.71067529,22.98456261,114.022
43.44206974,8.429828624,47.46407439,122.83
51.35212069,10.90505946,31.34407182,83.882
25.45258621,41.87785625,27.81746032,65.568
12.92582663,67.95648411,37.43529529,61.326
4.998695344,94.36129032,44.33543006,44.885
20.93928089,71.61853757,32.50764786,39.178
32.1400032,42.49197174,24.96977025,66.765
38.45648604,13.1984355,57.81675234,47.902
29.83284884,45.48844146,28.77377049,41.509
46.77234618,43.24757107,22.19494945,79.982
30.17889551,57.1015138,27.04873294,41.68
21.386563,82.02949722,30.0856387,33.398
29.69052224,42.47689464,31.07049608,57.321
3.982214812,97.56639377,44.1275039,44.272
19.27598433,75.33626315,20.78840375,36.832
18.56312008,58.595949,43.36755518,39.681
9.800962851,97.17439585,39.73796162,33.752
24.93562968,54.74800159,40.45252149,32.372
14.94063325,41.99246655,50.23198268,33.603
11.50105924,84.83591921,33.96711803,43.917
2.727272727,98.39715049,38.2029735,46.524
9.86122449,75.80589255,44.15485444,43.442
20.13042943,76.26199416,23.73632385,81.498
76.98066126,18.4472249,11.1884058,21.711
37.45883434,34.64291822,29.69179773,52.406
2.532511978,97.76050721,56.91422594,23.832
33.70197241,26.93883439,43.36510657,50.665
25.38916375,32.24893424,40.1451945,37.43
28.71491115,20.24212834,52.67044056,38.646
50.50445104,10.00384763,57.03296703,61.635
2.071197411,89.15422886,42.46651786,29.257
8.333333333,87.89580205,42.76907079,24.284
15.25302922,58.62462006,32.66364226,22.083
14.47963801,51.61529342,45.47803618,45.662
63.84782609,23.38166753,14.67331118,44.348
53.57142857,21.69734151,17.05937795,185.147
11.67539267,81.59011964,28.19299905,36.25
48.304769,22.4849133,21.82775607,54.611
30.5533479,64.89635036,27.3046295,48.911
58.57753841,37.18358068,15.99917565,52.855
57.86674546,35.05105788,20.19737732,49.14
41.61267099,18.54740681,10.75914801,52.775
51.10550954,46.07221857,14.52021021,43.667
53.7289916,48.98382083,12.51220306,57.487
48.64579669,27.43083004,20.55715658,71.957
39.1184573,29.99809415,29.0343075,31.84
23.23106113,80.75181159,28.20225204,57.193
60.78895464,30.72089569,17.36705095,73.636
34.78308144,67.05796038,25.06713746,55.41
74.73426002,16.8721691,7.382550336,65.068
16.75422017,83.95968018,36.91065881,55.903
36.52080449,60.015659,24.45148501,85.612
26.00272851,70.30835882,30.49403748,78.472
67.70098731,21.68621048,9.993155373,85.781
55.49270073,50.00642426,25.93353888,82.32
45.67385599,59.07563025,27.23730596,50.192
41.89473684,47.55469252,23.87130767,59.029
39.91139007,26.59863946,26.12105712,68.291
42.88888889,29.98630762,22.17148656,33.351
55.02925606,41.06870229,17.71109931,58.721
90.87048832,19.16604338,5.268292683,32.25
37.17277487,39.1099677,19.07627712,63.064
51.32350837,22.66662669,19.31216931,51.977
48.94584793,40.60058537,22.26826361,69.432
21.65324815,77.6418656,35.64888237,58.904
34.04080139,59.1033405,24.27697901,82.875
41.67593494,53.89344613,26.61582459,60.823
40.2179676,54.62122297,25.71443553,59.452
36.38283624,48.86125535,26.42863802,43.76
45.61567164,24.90135905,27.11267606,46.573
41.68868534,33.73074372,23.63288719,65.377
22.82003711,50.95259194,40.52173913,32.656
28.06755423,66.37685767,28.21292594,51.468
29.16553115,67.33528162,28.95048333,44.82
33.27667563,63.68079364,24.97136312,62.453
27.61801411,60.52071874,34.9733398,43.945
21.31706209,74.59158306,33.80151763,40.441
21.9130145,78.01559454,33.75643396,42.721
29.74506723,56.84576193,28.29788968,63.057
24.373101,61.8559722,33.52903357,67.955
36.18267375,53.53946841,29.88960958,63.928
26.5379898,62.50891483,32.21641746,70.93
48.04297249,35.54421401,23.37551716,77.418
27.37367118,50.8689478,29.02957793,46.696
51.36833046,32.36442178,18.2761116,103.621
23.41998525,72.81250384,32.8838787,65.361
25.2439143,58.79451396,34.04074951,52.867
42.28094576,40.82089264,24.05972406,83.006
34.45387413,52.98324372,29.1182266,36.457
43.79266751,43.91763316,23.0604333,51.594
38.18393481,40.05587526,27.60059613,51.882
21.68131085,58.8242779,39.47653039,54.261
23.48748975,62.96492311,36.7639505,64.355
21.71439612,66.47788494,34.09104386,52.312
32.50933753,49.3723567,29.36620039,79.198
26.94877506,52.87233644,30.48128342,64.576
54.79628977,28.77609433,23.00664901,80.992
57.54318031,32.06466194,17.58024691,93.902
20.92832541,62.64087153,36.22188906,53.333
17.68344043,74.75859342,38.19432199,56.543
19.5455129,74.58262469,36.01777736,64.052
30.95207991,51.24571694,27.45920218,65.764
33.99230862,55.3873444,30.98288239,47.993
52.93245939,35.27611321,21.00146352,89.922
32.72069606,50.01141188,29.45418036,63.836
49.66602025,25.61626952,25.98235766,40.784
39.73392461,29.28003713,25.97582722,74.773
19.67486453,50.52386496,30.76036866,53.182
53.51025118,29.9550578,24.39826701,81.029
55.86359058,26.60661721,24.31738726,86.175
